f_time;copX;copY
0.010;-4.322298;0.655344
0.020;-4.338488;0.606763
0.030;-4.355548;0.561104
0.040;-4.373889;0.520510
0.050;-4.393228;0.486304
0.060;-4.412688;0.458970
0.070;-4.431109;0.438317
0.080;-4.447392;0.423744
0.090;-4.460680;0.414496
0.100;-4.470310;0.409841
0.110;-4.475551;0.409141
0.120;-4.475302;0.411821
0.130;-4.467938;0.417276
0.140;-4.451436;0.424778
0.150;-4.423819;0.433436
0.160;-4.383766;0.442253
0.170;-4.331176;0.450311
0.180;-4.267480;0.457044
0.190;-4.195564;0.462496
0.200;-4.119338;0.467456
0.210;-4.043063;0.473389
0.220;-3.970607;0.482183
0.230;-3.904837;0.495803
0.240;-3.847299;0.515940
0.250;-3.798224;0.543747
0.260;-3.756815;0.579655
0.270;-3.721693;0.623243
0.280;-3.691381;0.673155
0.290;-3.664719;0.727128
0.300;-3.641140;0.782191
0.310;-3.620711;0.835061
0.320;-3.603960;0.882637
0.330;-3.591554;0.922450
0.340;-3.584007;0.952933
0.350;-3.581550;0.973468
0.360;-3.584225;0.984256
0.370;-3.592126;0.986129
0.380;-3.605625;0.980385
0.390;-3.625393;0.968698
0.400;-3.652097;0.953048
0.410;-3.685853;0.935638
0.420;-3.725700;0.918692
0.430;-3.769377;0.904124
0.440;-3.813604;0.893184
0.450;-3.854797;0.886239
0.460;-3.889946;0.882846
0.470;-3.917345;0.882120
0.480;-3.936906;0.883201
0.490;-3.949967;0.885629
0.500;-3.958681;0.889439
0.510;-3.965204;0.895011
0.520;-3.970988;0.902767
0.530;-3.976382;0.912853
0.540;-3.980623;0.924946
0.550;-3.982133;0.938254
0.560;-3.978951;0.951739
0.570;-3.969153;0.964464
0.580;-3.951118;0.975901
0.590;-3.923689;0.986040
0.600;-3.886264;0.995237
0.610;-3.838903;1.003867
0.620;-3.782432;1.011967
0.630;-3.718482;1.019057
0.640;-3.649405;1.024265
0.650;-3.578066;1.026699
0.660;-3.507563;1.025905
0.670;-3.440927;1.022194
0.680;-3.380865;1.016677
0.690;-3.329551;1.010976
0.700;-3.288461;1.006689
0.710;-3.258243;1.004798
0.720;-3.238669;1.005267
0.730;-3.228700;1.007017
0.740;-3.226688;1.008290
0.750;-3.230669;1.007271
0.760;-3.238662;1.002702
0.770;-3.248879;0.994273
0.780;-3.259817;0.982695
0.790;-3.270235;0.969479
0.800;-3.279072;0.956539
0.810;-3.285373;0.945759
0.820;-3.288220;0.938644
0.830;-3.286709;0.936143
0.840;-3.279951;0.938636
0.850;-3.267148;0.946058
0.860;-3.247764;0.958078
0.870;-3.221767;0.974273
0.880;-3.189863;0.994268
0.890;-3.153576;1.017809
0.900;-3.115111;1.044769
0.910;-3.076975;1.075085
0.920;-3.041448;1.108659
0.930;-3.010072;1.145251
0.940;-2.983340;1.184399
0.950;-2.960702;1.225368
0.960;-2.940886;1.267142
0.970;-2.922415;1.308474
0.980;-2.904141;1.348016
0.990;-2.885633;1.384478
1.000;-2.867266;1.416756
1.010;-2.850002;1.443987
1.020;-2.834946;1.465544
1.030;-2.822864;1.481018
1.040;-2.813837;1.490209
1.050;-2.807191;1.493143
1.060;-2.801712;1.490124
1.070;-2.796103;1.481788
1.080;-2.789504;1.469135
1.090;-2.781862;1.453479
1.100;-2.773971;1.436312
1.110;-2.767182;1.419113
1.120;-2.762912;1.403175
1.130;-2.762151;1.389487
1.140;-2.765142;1.378690
1.150;-2.771307;1.371058
1.160;-2.779420;1.366489
1.170;-2.787936;1.364518
1.180;-2.795357;1.364403
1.190;-2.800548;1.365304
1.200;-2.802935;1.366509
1.210;-2.802559;1.367597
1.220;-2.799988;1.368465
1.230;-2.796133;1.369252
1.240;-2.792008;1.370197
1.250;-2.788502;1.371487
1.260;-2.786180;1.373117
1.270;-2.785145;1.374789
1.280;-2.784992;1.375873
1.290;-2.784878;1.375474
1.300;-2.783728;1.372604
1.310;-2.780538;1.366436
1.320;-2.774669;1.356585
1.330;-2.766038;1.343323
1.340;-2.755102;1.327672
1.350;-2.742659;1.311321
1.360;-2.729549;1.296375
1.370;-2.716372;1.284984
1.380;-2.703316;1.278941
1.390;-2.690139;1.279309
1.400;-2.676300;1.286151
1.410;-2.661181;1.298425
1.420;-2.644319;1.314112
1.430;-2.625569;1.330578
1.440;-2.605174;1.345137
1.450;-2.583754;1.355660
1.460;-2.562280;1.361049
1.470;-2.542022;1.361406
1.480;-2.524439;1.357853
1.490;-2.510928;1.352104
1.500;-2.502450;1.345934
1.510;-2.499120;1.340687
1.520;-2.499969;1.336963
1.530;-2.503010;1.334527
1.540;-2.505662;1.332488
1.550;-2.505382;1.329635
1.560;-2.500296;1.324780
1.570;-2.489551;1.316989
1.580;-2.473291;1.305670
1.590;-2.452286;1.290582
1.600;-2.427454;1.271880
1.610;-2.399441;1.250164
1.620;-2.368411;1.226472
1.630;-2.334055;1.202139
1.640;-2.295795;1.178529
1.650;-2.253107;1.156759
1.660;-2.205823;1.137526
1.670;-2.154337;1.121098
1.680;-2.099643;1.107426
1.690;-2.043238;1.096287
1.700;-1.986952;1.087365
1.710;-1.932740;1.080250
1.720;-1.882493;1.074435
1.730;-1.837854;1.069384
1.740;-1.800077;1.064666
1.750;-1.769939;1.060085
1.760;-1.747753;1.055711
1.770;-1.733476;1.051756
1.780;-1.726893;1.048363
1.790;-1.727781;1.045437
1.800;-1.736015;1.042586
1.810;-1.751561;1.039208
1.820;-1.774364;1.034626
1.830;-1.804168;1.028231
1.840;-1.840384;1.019599
