Time[s];COPx[cm];COPy[cm]
0.010;-0.970056;-1.400448
0.020;-0.991383;-1.408571
0.030;-1.008521;-1.415613
0.040;-1.018174;-1.420948
0.050;-1.018604;-1.424632
0.060;-1.010015;-1.427408
0.070;-0.994410;-1.430467
0.080;-0.974951;-1.435046
0.090;-0.955018;-1.442002
0.100;-0.937280;-1.451506
0.110;-0.923051;-1.462943
0.120;-0.912098;-1.475060
0.130;-0.902925;-1.486352
0.140;-0.893443;-1.495536
0.150;-0.881835;-1.501931
0.160;-0.867353;-1.505589
0.170;-0.850794;-1.507112
0.180;-0.834459;-1.507231
0.190;-0.821530;-1.506344
0.200;-0.815008;-1.504230
0.210;-0.816553;-1.500112
0.220;-0.825687;-1.493038
0.230;-0.839740;-1.482414
0.240;-0.854622;-1.468405
0.250;-0.866160;-1.452008
0.260;-0.871477;-1.434757
0.270;-0.869910;-1.418197
0.280;-0.863142;-1.403348
0.290;-0.854533;-1.390387
0.300;-0.847912;-1.378669
0.310;-0.846200;-1.367063
0.320;-0.850324;-1.354434
0.330;-0.858743;-1.340087
0.340;-0.867771;-1.324006
0.350;-0.872609;-1.306831
0.360;-0.868799;-1.289596
0.370;-0.853633;-1.273333
0.380;-0.827051;-1.258676
0.390;-0.791744;-1.245640
0.400;-0.752432;-1.233677
0.410;-0.714556;-1.221997
0.420;-0.682808;-1.209982
0.430;-0.659927;-1.197541
0.440;-0.646126;-1.185248
0.450;-0.639258;-1.174225
0.460;-0.635611;-1.165848
0.470;-0.631027;-1.161394
0.480;-0.622000;-1.161747
0.490;-0.606428;-1.167215
0.500;-0.583878;-1.177439
0.510;-0.555339;-1.191412
0.520;-0.522640;-1.207631
0.530;-0.487757;-1.224365
0.540;-0.452231;-1.240007
0.550;-0.416842;-1.253428
0.560;-0.381587;-1.264199
0.570;-0.345913;-1.272615
0.580;-0.309128;-1.279505
0.590;-0.270823;-1.285904
0.600;-0.231217;-1.292722
0.610;-0.191304;-1.300527
0.620;-0.152767;-1.309480
0.630;-0.117654;-1.319426
0.640;-0.087856;-1.330064
0.650;-0.064540;-1.341098
0.660;-0.047735;-1.352285
0.670;-0.036243;-1.363411
0.680;-0.027960;-1.374236
0.690;-0.020535;-1.384484
0.700;-0.012152;-1.393879
0.710;-0.002193;-1.402223
0.720;0.008481;-1.409467
0.730;0.017756;-1.415737
0.740;0.022970;-1.421286
0.750;0.021899;-1.426360
0.760;0.013637;-1.431024
