f_time;copX;copY
0.010;-1.499276;-5.518426
0.020;-1.559879;-5.579311
0.030;-1.620924;-5.640688
0.040;-1.682609;-5.703298
0.050;-1.744340;-5.768034
0.060;-1.804655;-5.835858
0.070;-1.861379;-5.907625
0.080;-1.911954;-5.983848
0.090;-1.953857;-6.064424
0.100;-1.985001;-6.148429
0.110;-2.004041;-6.234058
0.120;-2.010554;-6.318804
0.130;-2.005124;-6.399883
0.140;-1.989319;-6.474802
0.150;-1.965558;-6.541877
0.160;-1.936835;-6.600509
0.170;-1.906315;-6.651161
0.180;-1.876903;-6.695067
0.190;-1.850877;-6.733834
0.200;-1.829675;-6.769093
0.210;-1.813798;-6.802315
0.220;-1.802793;-6.834763
0.230;-1.795308;-6.867476
0.240;-1.789261;-6.901223
0.250;-1.782173;-6.936408
0.260;-1.771649;-6.973027
0.270;-1.755939;-7.010727
0.280;-1.734442;-7.048936
0.290;-1.707994;-7.086988
0.300;-1.678789;-7.124063
0.310;-1.649804;-7.158857
0.320;-1.623791;-7.188982
0.330;-1.602012;-7.210259
0.340;-1.583092;-7.216321
0.350;-1.562373;-7.198994
0.360;-1.532209;-7.149826
0.370;-1.483463;-7.062613
0.380;-1.408033;-6.936159
0.390;-1.301615;-6.776028
0.400;-1.165600;-6.594278
0.410;-1.007203;-6.407074
0.420;-0.837842;-6.231141
0.430;-0.670478;-6.080408
0.440;-0.516965;-5.963839
0.450;-0.386123;-5.884663
0.460;-0.282833;-5.840791
0.470;-0.208070;-5.826013
0.480;-0.159654;-5.831665
0.490;-0.133437;-5.848495
0.500;-0.124579;-5.868411
0.510;-0.128594;-5.885749
0.520;-0.141868;-5.897760
0.530;-0.161604;-5.904251
0.540;-0.185353;-5.906623
0.550;-0.210458;-5.906760
0.560;-0.233735;-5.906222
0.570;-0.251556;-5.905990
0.580;-0.260310;-5.906713
0.590;-0.257034;-5.909180
0.600;-0.239963;-5.914711
0.610;-0.208803;-5.925248
0.620;-0.164674;-5.943109
0.630;-0.109794;-5.970498
0.640;-0.047023;-6.008938
0.650;0.020649;-6.058796
0.660;0.090621;-6.118983
0.670;0.161135;-6.186914
0.680;0.231583;-6.258716
0.690;0.302580;-6.329658
0.700;0.375776;-6.394721
0.710;0.453465;-6.449198
0.720;0.538089;-6.489200
0.730;0.631753;-6.511918
0.740;0.735870;-6.515634
0.750;0.850998;-6.499563
0.760;0.976800;-6.463730
0.770;1.112067;-6.409034
0.780;1.254696;-6.337519
0.790;1.401695;-6.252683
0.800;1.549289;-6.159549
0.810;1.693242;-6.064274
0.820;1.829358;-5.973285
0.830;1.954022;-5.892151
0.840;2.064648;-5.824517
0.850;2.159933;-5.771423
0.860;2.239881;-5.731213
0.870;2.305603;-5.700102
0.880;2.358946;-5.673259
0.890;2.402043;-5.646037
0.900;2.436922;-5.614945
0.910;2.465253;-5.578032
0.920;2.488249;-5.534694
0.930;2.506678;-5.485123
0.940;2.520901;-5.429759
0.950;2.530929;-5.368966
0.960;2.536473;-5.303031
0.970;2.537015;-5.232405
0.980;2.531894;-5.157994
0.990;2.520419;-5.081305
1.000;2.502013;-5.004347
1.010;2.476325;-4.929312
1.020;2.443334;-4.858225
1.030;2.403410;-4.792679
1.040;2.357327;-4.733752
1.050;2.306229;-4.682053
1.060;2.251499;-4.637775
1.070;2.194548;-4.600722
1.080;2.136580;-4.570301
1.090;2.078438;-4.545569
1.100;2.020634;-4.525332
1.110;1.963570;-4.508283
1.120;1.907844;-4.493070
1.130;1.854451;-4.478290
1.140;1.804781;-4.462462
1.150;1.760375;-4.444113
1.160;1.722528;-4.422053
1.170;1.691851;-4.395815
1.180;1.667961;-4.366066
1.190;1.649400;-4.334798
1.200;1.633843;-4.305149
1.210;1.618562;-4.280865
1.220;1.601012;-4.265562
1.230;1.579358;-4.262003
1.240;1.552831;-4.271585
1.250;1.521806;-4.294122
1.260;1.487586;-4.327971
1.270;1.451935;-4.370423
1.280;1.416437;-4.418266
1.290;1.381908;-4.468377
1.300;1.348070;-4.518214
1.310;1.313638;-4.566115
1.320;1.276820;-4.611334
1.330;1.236057;-4.653855
1.340;1.190757;-4.694046
1.350;1.141742;-4.732272
1.360;1.091285;-4.768561
1.370;1.042710;-4.802445
1.380;0.999717;-4.833056
1.390;0.965647;-4.859433
1.400;0.942873;-4.880872
1.410;0.932478;-4.897147
1.420;0.934249;-4.908499
1.430;0.946939;-4.915464
1.440;0.968685;-4.918606
1.450;0.997437;-4.918262
