f_time,copX,copY
0.0019984,0.1845152,0.1460628
0.007996,0.1845535,0.1461152
0.0129936,0.1845698,0.1462995
0.0179912,0.1846101,0.1463517
0.0239854,0.1846418,0.1465934
0.028983,0.1848831,0.1465913
0.0339804,0.1848389,0.1465679
0.037978,0.1848389,0.1465679
0.0439741,0.184914,0.1467758
0.0489715,0.184982,0.1467312
0.0529693,0.184982,0.1467312
0.0589658,0.1849512,0.1468482
0.0629636,0.1849512,0.1468482
0.0679606,0.1850175,0.1469033
0.0729581,0.1849517,0.1470647
0.0788418,0.1849904,0.147131
0.0838387,0.1851258,0.1471108
0.0878375,0.1851258,0.1471108
0.092834,0.1851119,0.1473487
0.0978336,0.1850943,0.1473454
0.1028297,0.1851488,0.1474491
0.1088262,0.1852093,0.1473402
0.1128229,0.1852093,0.1473402
0.118819,0.1851778,0.1473649
0.1238177,0.185304,0.1474063
0.1278149,0.185304,0.1474063
0.1338104,0.1853737,0.147413
0.1378106,0.1853737,0.147413
0.1438049,0.185329,0.1476029
0.1478024,0.185329,0.1476029
0.1527999,0.1853876,0.147554
0.1577981,0.18533,0.1474607
0.1627952,0.1854564,0.1474716
0.167793,0.1853918,0.1476015
0.173787,0.1855177,0.1475076
0.1777857,0.1855177,0.1475076
0.1837814,0.1856874,0.1476336
0.1887794,0.1858217,0.147606
0.1927768,0.1858217,0.147606
0.1987732,0.1855978,0.1475199
0.2027706,0.1855978,0.1475199
0.2077701,0.1857108,0.1476529
0.2127659,0.1857886,0.1475914
0.217768,0.1858033,0.1475613
0.2237609,0.1858624,0.1476295
0.227757,0.1858624,0.1476295
0.2327551,0.1859305,0.1477004
0.237752,0.1860321,0.1477005
0.2437474,0.1859895,0.1476722
0.2477478,0.1859895,0.1476722
0.2537413,0.1861942,0.1477036
0.2577392,0.1861942,0.1477036
0.2627364,0.1860959,0.1478651
0.2677335,0.1862146,0.1479387
0.2737297,0.1863026,0.1479491
0.2770314,0.1863026,0.1479491
0.2830187,0.1862689,0.1481228
0.2880156,0.1864903,0.1481011
0.2920132,0.1864809,0.1482372
0.2970125,0.1864429,0.1483019
0.3030075,0.1864534,0.1482295
0.3070047,0.1865989,0.1484282
0.3130019,0.1866246,0.1485613
0.3179985,0.186571,0.1485984
0.3239948,0.1867324,0.1486894
0.3279926,0.1867324,0.1486894
0.33299,0.1867591,0.1487401
0.3389865,0.1868724,0.1489623
0.3429837,0.1868724,0.1489623
0.348981,0.1869192,0.1492091
0.3529795,0.1869192,0.1492091
0.357976,0.1870958,0.1493039
0.3629732,0.1871043,0.1494511
0.3689708,0.1870718,0.149704
0.3729662,0.1870718,0.149704
0.377964,0.1872682,0.1497328
0.3839605,0.1872772,0.1500938
0.3879581,0.1872772,0.1500938
0.3929557,0.1872377,0.1503934
0.3979534,0.187457,0.1504182
0.4039491,0.1872943,0.1508859
0.4079466,0.1872943,0.1508859
0.4129453,0.1872202,0.1510718
0.4189402,0.1872952,0.1514382
0.4229383,0.1872952,0.1514382
0.428935,0.1869943,0.1517652
0.4329324,0.1869943,0.1517652
0.4379312,0.1869906,0.1521387
0.4439261,0.186894,0.1525746
0.4489233,0.1867079,0.1527693
0.4539205,0.186645,0.152913
0.4579176,0.186645,0.152913
0.4629155,0.1866351,0.1530177
